CustomerID,InvoiceNo,Country,total_factura,gasto_historico_GBP,total_facturas_cliente
14646,541206,Netherlands,10389.06,280206.02,73
14646,539491,Netherlands,70.96,280206.02,73
14646,539731,Netherlands,8520.92,280206.02,73
14646,544480,Netherlands,6323.38,280206.02,73
14646,544479,Netherlands,11956.1,280206.02,73
14646,541608,Netherlands,305.28,280206.02,73
14646,541711,Netherlands,8060.3,280206.02,73
14646,543387,Netherlands,1306.28,280206.02,73
14646,544672,Netherlands,3211.7,280206.02,73
14646,541570,Netherlands,7722.04,280206.02,73
14646,547796,Netherlands,1407.86,280206.02,73
14646,548970,Netherlands,1155.0,280206.02,73
14646,548969,Netherlands,1129.2,280206.02,73
14646,548211,Netherlands,1807.04,280206.02,73
14646,548011,Netherlands,15719.56,280206.02,73
14646,551345,Netherlands,692.36,280206.02,73
14646,548010,Netherlands,2527.94,280206.02,73
14646,553682,Netherlands,732.4,280206.02,73
14646,557263,Netherlands,5683.06,280206.02,73
14646,552846,Netherlands,288.0,280206.02,73
14646,555164,Netherlands,3623.2,280206.02,73
14646,554642,Netherlands,1392.0,280206.02,73
14646,555160,Netherlands,1799.6,280206.02,73
14646,552885,Netherlands,270.0,280206.02,73
14646,552845,Netherlands,536.4,280206.02,73
14646,552882,Netherlands,1792.72,280206.02,73
14646,552883,Netherlands,14415.74,280206.02,73
14646,554827,Netherlands,8980.88,280206.02,73
14646,557328,Netherlands,154.67,280206.02,73
14646,558262,Netherlands,10174.94,280206.02,73
14646,562790,Netherlands,157.5,280206.02,73
14646,560710,Netherlands,26.02,280206.02,73
14646,562789,Netherlands,12341.21,280206.02,73
14646,558311,Netherlands,2739.92,280206.02,73
14646,558263,Netherlands,1113.6,280206.02,73
14646,565967,Netherlands,1944.6,280206.02,73
14646,567795,Netherlands,904.62,280206.02,73
14646,566557,Netherlands,8281.12,280206.02,73
14646,563076,Netherlands,19150.66,280206.02,73
14646,564650,Netherlands,6429.64,280206.02,73
14646,565975,Netherlands,2.08,280206.02,73
14646,564652,Netherlands,998.4,280206.02,73
14646,567290,Netherlands,5350.4,280206.02,73
14646,567280,Netherlands,10267.88,280206.02,73
14646,563165,Netherlands,825.6,280206.02,73
14646,564169,Netherlands,424.8,280206.02,73
14646,569720,Netherlands,23.39,280206.02,73
14646,572236,Netherlands,81.02,280206.02,73
14646,572123,Netherlands,2314.48,280206.02,73
14646,572233,Netherlands,930.12,280206.02,73
14646,572035,Netherlands,20277.92,280206.02,73
14646,572051,Netherlands,4311.48,280206.02,73
14646,572052,Netherlands,1244.16,280206.02,73
14646,569735,Netherlands,30.0,280206.02,73
14646,569719,Netherlands,788.16,280206.02,73
14646,573003,Netherlands,4992.0,280206.02,73
14646,575510,Netherlands,1549.12,280206.02,73
14646,573002,Netherlands,4534.22,280206.02,73
14646,573004,Netherlands,469.0,280206.02,73
14646,574058,Netherlands,449.28,280206.02,73
14646,575508,Netherlands,8111.2,280206.02,73
14646,574056,Netherlands,3949.66,280206.02,73
14646,574059,Netherlands,87.97,280206.02,73
14646,576664,Netherlands,232.5,280206.02,73
14646,575709,Netherlands,162.8,280206.02,73
14646,578140,Netherlands,7952.68,280206.02,73
14646,577326,Netherlands,166.0,280206.02,73
14646,578143,Netherlands,1835.96,280206.02,73
14646,578141,Netherlands,290.0,280206.02,73
14646,578034,Netherlands,588.24,280206.02,73
14646,581176,Netherlands,575.88,280206.02,73
14646,581175,Netherlands,10901.54,280206.02,73
14646,581338,Netherlands,250.6,280206.02,73
18102,537657,United Kingdom,9639.12,259657.3,60
18102,537659,United Kingdom,15885.49,259657.3,60
18102,538063,United Kingdom,1914.24,259657.3,60
18102,537658,United Kingdom,395.76,259657.3,60
18102,543379,United Kingdom,6155.72,259657.3,60
18102,543378,United Kingdom,4379.76,259657.3,60
18102,545466,United Kingdom,1396.0,259657.3,60
18102,547812,United Kingdom,5513.32,259657.3,60
18102,550711,United Kingdom,1196.96,259657.3,60
18102,553471,United Kingdom,2462.26,259657.3,60
18102,556726,United Kingdom,8915.52,259657.3,60
18102,556255,United Kingdom,16488.0,259657.3,60
18102,556725,United Kingdom,2496.0,259657.3,60
18102,556723,United Kingdom,3060.4,259657.3,60
18102,553368,United Kingdom,8895.66,259657.3,60
18102,553475,United Kingdom,866.4,259657.3,60
18102,555920,United Kingdom,10999.52,259657.3,60
18102,553474,United Kingdom,276.48,259657.3,60
18102,553470,United Kingdom,5410.06,259657.3,60
18102,553473,United Kingdom,254.88,259657.3,60
18102,561655,United Kingdom,6591.6,259657.3,60
18102,560646,United Kingdom,2365.91,259657.3,60
18102,558776,United Kingdom,5496.0,259657.3,60
18102,560648,United Kingdom,710.25,259657.3,60
18102,558775,United Kingdom,7786.0,259657.3,60
18102,562541,United Kingdom,985.92,259657.3,60
18102,566936,United Kingdom,4351.0,259657.3,60
18102,567785,United Kingdom,1074.0,259657.3,60
18102,566934,United Kingdom,13249.94,259657.3,60
18102,567803,United Kingdom,3877.56,259657.3,60
18102,566935,United Kingdom,6870.0,259657.3,60
18102,566933,United Kingdom,1465.6,259657.3,60
18102,567806,United Kingdom,452.84,259657.3,60
18102,567852,United Kingdom,4117.4,259657.3,60
18102,565291,United Kingdom,4913.52,259657.3,60
18102,567860,United Kingdom,295.96,259657.3,60
18102,567747,United Kingdom,389.76,259657.3,60
18102,566931,United Kingdom,5725.0,259657.3,60
18102,569365,United Kingdom,1094.71,259657.3,60
18102,572209,United Kingdom,22206.0,259657.3,60
18102,569263,United Kingdom,4849.1,259657.3,60
18102,568717,United Kingdom,2748.0,259657.3,60
18102,569539,United Kingdom,557.76,259657.3,60
18102,569343,United Kingdom,7298.76,259657.3,60
18102,569366,United Kingdom,647.52,259657.3,60
18102,572196,United Kingdom,7398.54,259657.3,60
18102,568718,United Kingdom,91.6,259657.3,60
18102,572197,United Kingdom,89.28,259657.3,60
18102,569257,United Kingdom,2350.98,259657.3,60
18102,569362,United Kingdom,1023.96,259657.3,60
18102,569255,United Kingdom,5164.66,259657.3,60
18102,574341,United Kingdom,4557.6,259657.3,60
18102,574355,United Kingdom,85.32,259657.3,60
18102,574352,United Kingdom,5292.72,259657.3,60
18102,574383,United Kingdom,80.6,259657.3,60
18102,574363,United Kingdom,5028.76,259657.3,60
18102,579139,United Kingdom,286.08,259657.3,60
18102,581455,United Kingdom,652.28,259657.3,60
18102,581566,United Kingdom,469.44,259657.3,60
18102,581457,United Kingdom,10363.82,259657.3,60
17450,537456,United Kingdom,1989.24,194550.79,46
17450,540691,United Kingdom,1508.66,194550.79,46
17450,540689,United Kingdom,12797.52,194550.79,46
17450,537448,United Kingdom,39.6,194550.79,46
17450,540698,United Kingdom,4314.02,194550.79,46
17450,546067,United Kingdom,2099.7,194550.79,46
17450,551234,United Kingdom,476.4,194550.79,46
17450,547708,United Kingdom,11343.2,194550.79,46
17450,550710,United Kingdom,3108.64,194550.79,46
17450,547718,United Kingdom,57.6,194550.79,46
17450,557125,United Kingdom,5405.48,194550.79,46
17450,555010,United Kingdom,213.12,194550.79,46
17450,554358,United Kingdom,2825.4,194550.79,46
17450,554845,United Kingdom,5518.68,194550.79,46
17450,554366,United Kingdom,9468.48,194550.79,46
17450,561659,United Kingdom,3453.72,194550.79,46
17450,559700,United Kingdom,1752.06,194550.79,46
17450,560080,United Kingdom,3279.36,194550.79,46
17450,563590,United Kingdom,13031.5,194550.79,46
17450,567458,United Kingdom,4563.84,194550.79,46
17450,567423,United Kingdom,31698.16,194550.79,46
17450,565589,United Kingdom,691.2,194550.79,46
17450,567453,United Kingdom,1468.8,194550.79,46
17450,567377,United Kingdom,957.9,194550.79,46
17450,567387,United Kingdom,3189.94,194550.79,46
17450,567384,United Kingdom,4418.0,194550.79,46
17450,567480,United Kingdom,3200.0,194550.79,46
17450,564109,United Kingdom,34.56,194550.79,46
17450,567381,United Kingdom,22104.8,194550.79,46
17450,563589,United Kingdom,2240.0,194550.79,46
17450,563588,United Kingdom,813.4,194550.79,46
17450,569030,United Kingdom,2800.0,194550.79,46
17450,569029,United Kingdom,320.0,194550.79,46
17450,573452,United Kingdom,2039.24,194550.79,46
17450,574293,United Kingdom,6162.62,194550.79,46
17450,572545,United Kingdom,1896.72,194550.79,46
17450,576088,United Kingdom,1314.94,194550.79,46
17450,576090,United Kingdom,3174.4,194550.79,46
17450,574285,United Kingdom,2907.2,194550.79,46
17450,579271,United Kingdom,2586.69,194550.79,46
17450,579249,United Kingdom,1147.2,194550.79,46
17450,580063,United Kingdom,1562.4,194550.79,46
17450,579253,United Kingdom,230.4,194550.79,46
17450,579251,United Kingdom,3821.36,194550.79,46
17450,579252,United Kingdom,1034.4,194550.79,46
17450,577747,United Kingdom,5490.24,194550.79,46
16446,553573,United Kingdom,2.9,168472.5,2
16446,581483,United Kingdom,168469.6,168472.5,2
14911,540547,EIRE,258.0,143825.06,201
14911,537368,EIRE,377.5,143825.06,201
14911,537378,EIRE,784.15,143825.06,201
14911,537386,EIRE,20.85,143825.06,201
14911,539473,EIRE,411.1,143825.06,201
14911,539722,EIRE,762.3,143825.06,201
14911,539320,EIRE,707.06,143825.06,201
14911,536541,EIRE,15.0,143825.06,201
14911,538255,EIRE,1156.05,143825.06,201
14911,538009,EIRE,945.55,143825.06,201
14911,539984,EIRE,289.85,143825.06,201
14911,536803,EIRE,22.5,143825.06,201
14911,536540,EIRE,540.38,143825.06,201
14911,536975,EIRE,1705.65,143825.06,201
14911,541670,EIRE,2756.84,143825.06,201
14911,542777,EIRE,797.77,143825.06,201
14911,542216,EIRE,802.56,143825.06,201
14911,545657,EIRE,877.31,143825.06,201
14911,546328,EIRE,1687.17,143825.06,201
14911,541979,EIRE,282.44,143825.06,201
14911,541434,EIRE,465.58,143825.06,201
14911,544390,EIRE,162.7,143825.06,201
14911,545634,EIRE,308.18,143825.06,201
14911,546329,EIRE,1687.17,143825.06,201
14911,543178,EIRE,229.6,143825.06,201
14911,542278,EIRE,564.05,143825.06,201
14911,544210,EIRE,281.12,143825.06,201
14911,547882,EIRE,539.0,143825.06,201
14911,546520,EIRE,706.6,143825.06,201
14911,548664,EIRE,1407.19,143825.06,201
14911,546509,EIRE,522.6,143825.06,201
14911,547789,EIRE,750.37,143825.06,201
14911,551656,EIRE,619.2,143825.06,201
14911,547048,EIRE,197.8,143825.06,201
14911,551187,EIRE,362.9,143825.06,201
