InvoiceNo,Description,Quantity,UnitPrice,TotalLine
581483,"PAPER CRAFT , LITTLE BIRDIE",80995,2.08,168469.6
541431,MEDIUM CERAMIC TOP STORAGE JAR,74215,1.04,77183.6
556444,PICNIC BASKET WICKER 60 PIECES,60,649.5,38970.0
551697,POSTAGE,1,8142.75,8142.75
567423,SET OF TEA COFFEE SUGAR TINS PANTRY,1412,5.06,7144.72
540815,FAIRY CAKE FLANNEL ASSORTED COLOUR,3114,2.1,6539.4
550461,FAIRY CAKE FLANNEL ASSORTED COLOUR,3114,2.1,6539.4
573003,RABBIT NIGHT LIGHT,2400,2.08,4992.0
540815,WHITE HANGING HEART T-LIGHT HOLDER,1930,2.55,4921.5
550461,WHITE HANGING HEART T-LIGHT HOLDER,1930,2.4,4632.0
