CustomerID,Country,total_GBP,ranking_en_pais,posicion_en_pais
12415,Australia,124914.53,1,1
12431,Australia,5514.67,2,2
12388,Australia,2780.66,3,3
12360,Austria,2662.06,1,1
12865,Austria,1568.23,2,2
12818,Austria,1542.08,3,3
12355,Bahrain,459.4,1,1
12353,Bahrain,89.0,2,2
12362,Belgium,5226.23,1,1
12449,Belgium,4067.29,2,2
12417,Belgium,3212.8,3,3
12769,Brazil,1143.6,1,1
17444,Canada,2940.04,1,1
17443,Canada,534.24,2,2
15388,Canada,140.54,3,3
14936,Channel Islands,8137.02,1,1
14930,Channel Islands,2372.86,2,2
14934,Channel Islands,1890.94,3,3
12359,Cyprus,6372.58,1,1
12370,Cyprus,3268.49,2,2
12455,Cyprus,1698.9,3,3
12781,Czech Republic,826.74,1,1
12435,Denmark,7829.89,1,1
12406,Denmark,3415.3,2,2
12429,Denmark,3312.42,3,3
14911,EIRE,143825.06,1,1
14156,EIRE,117379.63,2,2
14016,EIRE,4341.21,3,3
15108,European Community,1300.25,1,1
12428,Finland,7956.46,1,1
12664,Finland,4881.88,2,2
12704,Finland,2340.84,3,3
12731,France,18895.91,1,1
12678,France,17628.46,2,2
12681,France,13787.54,3,3
12471,Germany,19824.05,1,1
12621,Germany,13689.67,2,2
12477,Germany,13219.74,3,3
14439,Greece,2661.24,1,1
12717,Greece,1030.98,2,2
12478,Greece,680.99,3,3
12347,Iceland,4310.0,1,1
12688,Israel,4873.81,1,1
12653,Israel,2209.85,2,2
12512,Israel,138.03,3,3
12594,Italy,3338.22,1,1
12578,Italy,2794.51,2,2
12584,Italy,2338.15,3,3
12753,Japan,21429.39,1,1
12798,Japan,6977.04,2,2
12755,Japan,3811.95,3,3
12764,Lebanon,1693.88,1,1
15332,Lithuania,1661.06,1,1
17828,Malta,1820.09,1,1
15480,Malta,905.5,2,2
14646,Netherlands,280206.02,1,1
12759,Netherlands,1531.44,2,2
12775,Netherlands,1386.04,3,3
12433,Norway,13375.87,1,1
12432,Norway,5059.32,2,2
12444,Norway,5005.46,3,3
12779,Poland,3981.36,1,1
12576,Poland,1315.83,2,2
12815,Poland,1063.46,3,3
12757,Portugal,7857.1,1,1
12766,Portugal,6989.63,2,2
12356,Portugal,2811.43,3,3
12446,RSA,1002.31,1,1
12565,Saudi Arabia,145.92,1,1
12744,Singapore,21279.29,1,1
12540,Spain,13400.24,1,1
12557,Spain,11990.96,2,2
12539,Spain,5568.35,3,3
17404,Sweden,31906.82,1,1
12483,Sweden,2484.98,2,2
12676,Sweden,1331.39,3,3
12409,Switzerland,11072.67,1,1
12451,Switzerland,9035.52,2,2
12357,Switzerland,6207.67,3,3
12607,USA,1579.51,1,1
12646,USA,1346.97,2,2
12733,USA,383.95,3,3
12739,United Arab Emirates,1013.04,1,1
17829,United Arab Emirates,889.24,2,2
18102,United Kingdom,259657.3,1,1
17450,United Kingdom,194550.79,2,2
16446,United Kingdom,168472.5,3,3
16320,Unspecified,1038.46,1,1
12363,Unspecified,552.0,2,2
12743,Unspecified,546.43,3,3
